"MMWR.Week" "y2011" "y2012" "y2013" "y2014" "y2015" "y2016" "y2017"
"1" 1 "2011-01-08" "2012-01-07" "2013-01-05" "2014-01-04" "2015-01-10" "2016-01-09" "2017-01-07"
"2" 2 "2011-01-15" "2012-01-14" "2013-01-12" "2014-01-11" "2015-01-17" "2016-01-16" "2017-01-14"
"3" 3 "2011-01-22" "2012-01-21" "2013-01-19" "2014-01-18" "2015-01-24" "2016-01-23" "2017-01-21"
"4" 4 "2011-01-29" "2012-01-28" "2013-01-26" "2014-01-25" "2015-01-31" "2016-01-30" "2017-01-28"
"5" 5 "2011-02-05" "2012-02-04" "2013-02-02" "2014-02-01" "2015-02-07" "2016-02-06" "2017-02-04"
"6" 6 "2011-02-12" "2012-02-11" "2013-02-09" "2014-02-08" "2015-02-14" "2016-02-13" "2017-02-11"
"7" 7 "2011-02-19" "2012-02-18" "2013-02-16" "2014-02-15" "2015-02-21" "2016-02-20" "2017-02-18"
"8" 8 "2011-02-26" "2012-02-25" "2013-02-23" "2014-02-22" "2015-02-28" "2016-02-27" "2017-02-25"
"9" 9 "2011-03-05" "2012-03-03" "2013-03-02" "2014-03-01" "2015-03-07" "2016-03-05" "2017-03-04"
"10" 10 "2011-03-12" "2012-03-10" "2013-03-09" "2014-03-08" "2015-03-14" "2016-03-12" "2017-03-11"
"11" 11 "2011-03-19" "2012-03-17" "2013-03-16" "2014-03-15" "2015-03-21" "2016-03-19" "2017-03-18"
"12" 12 "2011-03-26" "2012-03-24" "2013-03-23" "2014-03-22" "2015-03-28" "2016-03-26" "2017-03-25"
"13" 13 "2011-04-02" "2012-03-31" "2013-03-30" "2014-03-29" "2015-04-04" "2016-04-02" "2017-04-01"
"14" 14 "2011-04-09" "2012-04-07" "2013-04-06" "2014-04-05" "2015-04-11" "2016-04-09" "2017-04-08"
"15" 15 "2011-04-16" "2012-04-14" "2013-04-13" "2014-04-12" "2015-04-18" "2016-04-16" "2017-04-15"
"16" 16 "2011-04-23" "2012-04-21" "2013-04-20" "2014-04-19" "2015-04-25" "2016-04-23" "2017-04-22"
"17" 17 "2011-04-30" "2012-04-28" "2013-04-27" "2014-04-26" "2015-05-02" "2016-04-30" "2017-04-29"
"18" 18 "2011-05-07" "2012-05-05" "2013-05-04" "2014-05-03" "2015-05-09" "2016-05-07" "2017-05-06"
