"location" "type" "region" "state"
"New England" "region" "NONE" NA
"Boston, MA" "city" "NEW ENGLAND" "Massachusetts"
"Bridgeport, CT" "city" "NEW ENGLAND" "Connecticut"
"Cambridge, MA" "city" "NEW ENGLAND" "Massachusetts"
"Fall River, MA" "city" "NEW ENGLAND" "Massachusetts"
"Hartford, CT" "city" "NEW ENGLAND" "Connecticut"
"Lowell, MA" "city" "NEW ENGLAND" "Massachusetts"
"Lynn, MA" "city" "NEW ENGLAND" "Massachusetts"
"New Bedford, MA" "city" "NEW ENGLAND" "Massachusetts"
"New Haven, CT" "city" "NEW ENGLAND" "Connecticut"
"Providence, RI" "city" "NEW ENGLAND" "Rhode Island"
"Somerville, MA" "city" "NEW ENGLAND" "Massachusetts"
"Springfield, MA" "city" "NEW ENGLAND" "Massachusetts"
"Waterbury, CT" "city" "NEW ENGLAND" "Connecticut"
"Worcester, MA" "city" "NEW ENGLAND" "Massachusetts"
"Mid. Atlantic" "region" "NONE" NA
"Albany, NY" "city" "MID. ATLANTIC" "New York"
"Allentown, PA" "city" "MID. ATLANTIC" "Pennsylvania"
"Buffalo, NY" "city" "MID. ATLANTIC" "New York"
"Camden, NJ" "city" "MID. ATLANTIC" "New Jersey"
"Elizabeth, NJ" "city" "MID. ATLANTIC" "New Jersey"
"Erie, PA" "city" "MID. ATLANTIC" "Pennsylvania"
"Jersey City, NJ" "city" "MID. ATLANTIC" "New Jersey"
"New York City, NY" "city" "MID. ATLANTIC" "New York"
"Newark, NJ" "city" "MID. ATLANTIC" "New Jersey"
"Paterson, NJ" "city" "MID. ATLANTIC" "New Jersey"
"Philadelphia, PA" "city" "MID. ATLANTIC" "Pennsylvania"
"Pittsburgh, PA" "city" "MID. ATLANTIC" "Pennsylvania"
"Reading, PA" "city" "MID. ATLANTIC" "Pennsylvania"
"Rochester, NY" "city" "MID. ATLANTIC" "New York"
"Schenectady, NY" "city" "MID. ATLANTIC" "New York"
"Scranton, PA" "city" "MID. ATLANTIC" "Pennsylvania"
"Syracuse, NY" "city" "MID. ATLANTIC" "New York"
"Trenton, NJ" "city" "MID. ATLANTIC" "New Jersey"
"Utica, NY" "city" "MID. ATLANTIC" "New York"
"Yonkers, NY" "city" "MID. ATLANTIC" "New York"
"E.N. Central" "region" "NONE" NA
"Akron, OH" "city" "E.N. CENTRAL" "Ohio"
"Canton, OH" "city" "E.N. CENTRAL" "Ohio"
"Chicago, IL" "city" "E.N. CENTRAL" "Illinois"
"Cincinnati, OH" "city" "E.N. CENTRAL" "Ohio"
"Cleveland, OH" "city" "E.N. CENTRAL" "Ohio"
"Columbus, OH" "city" "E.N. CENTRAL" "Ohio"
"Dayton, OH" "city" "E.N. CENTRAL" "Ohio"
"Detroit, MI" "city" "E.N. CENTRAL" "Michigan"
"Evansville, IN" "city" "E.N. CENTRAL" "Indiana"
"Fort Wayne, IN" "city" "E.N. CENTRAL" "Indiana"
"Gary, IN" "city" "E.N. CENTRAL" "Indiana"
"Grand Rapids, MI" "city" "E.N. CENTRAL" "Michigan"
"Indianapolis, IN" "city" "E.N. CENTRAL" "Indiana"
"Lansing, MI" "city" "E.N. CENTRAL" "Michigan"
"Milwaukee, WI" "city" "E.N. CENTRAL" "Wisconsin"
"Peoria, IL" "city" "E.N. CENTRAL" "Illinois"
"Rockford, IL" "city" "E.N. CENTRAL" "Illinois"
"South Bend, IN" "city" "E.N. CENTRAL" "Indiana"
"Toledo, OH" "city" "E.N. CENTRAL" "Ohio"
"Youngstown, OH" "city" "E.N. CENTRAL" "Ohio"
"W.N. Central" "region" "NONE" NA
"Des Moines, IA" "city" "W.N. CENTRAL" "Iowa"
"Duluth, MN" "city" "W.N. CENTRAL" "Minnesota"
"Kansas City, KS" "city" "W.N. CENTRAL" "Kansas"
"Kansas City, MO" "city" "W.N. CENTRAL" "Missouri"
"Lincoln, NC" "city" "W.N. CENTRAL" "North Carolina"
"Minneapolis, MN" "city" "W.N. CENTRAL" "Minnesota"
"Omaha, NE" "city" "W.N. CENTRAL" "Nebraska"
"St. Louis, MO" "city" "W.N. CENTRAL" "Missouri"
"St. Paul, MN" "city" "W.N. CENTRAL" "Minnesota"
"Wichita, KS" "city" "W.N. CENTRAL" "Kansas"
"S. Atlantic" "region" "NONE" NA
"Atlanta, GA" "city" "S. ATLANTIC" "Georgia"
"Baltimore, MD" "city" "S. ATLANTIC" "Maryland"
"Charlotte, NC" "city" "S. ATLANTIC" "North Carolina"
"Jacksonville, FL" "city" "S. ATLANTIC" "Florida"
"Miami, FL" "city" "S. ATLANTIC" "Florida"
"Norfolk, VA" "city" "S. ATLANTIC" "Virginia"
"Richmond, VA" "city" "S. ATLANTIC" "Virginia"
"Savannah, GA" "city" "S. ATLANTIC" "Georgia"
"St. Petersburg, FL" "city" "S. ATLANTIC" "Florida"
"Tampa, FL" "city" "S. ATLANTIC" "Florida"
"Washington, D.C." "city" "S. ATLANTIC" NA
"Wilmington, DE" "city" "S. ATLANTIC" "Delaware"
"E.S. Central" "region" "NONE" NA
"Birmingham, AL" "city" "E.S. CENTRAL" "Alabama"
"Chattanooga, TN" "city" "E.S. CENTRAL" "Tennessee"
"Knoxville, TN" "city" "E.S. CENTRAL" "Tennessee"
"Lexington, KY" "city" "E.S. CENTRAL" "Kentucky"
"Memphis, TN" "city" "E.S. CENTRAL" "Tennessee"
"Mobile, AL" "city" "E.S. CENTRAL" "Alabama"
"Montgomery, AL" "city" "E.S. CENTRAL" "Alabama"
"Nashville, TN" "city" "E.S. CENTRAL" "Tennessee"
"W.S. Central" "region" "NONE" NA
"Austin, TX" "city" "W.S. CENTRAL" "Texas"
"Baton Rouge, LA" "city" "W.S. CENTRAL" "Louisiana"
"Corpus Christi, TX" "city" "W.S. CENTRAL" "Texas"
"Dallas, TX" "city" "W.S. CENTRAL" "Texas"
"El Paso, TX" "city" "W.S. CENTRAL" "Texas"
"Fort Worth, TX" "city" "W.S. CENTRAL" "Texas"
"Houston, TX" "city" "W.S. CENTRAL" "Texas"
"Little Rock, AR" "city" "W.S. CENTRAL" "Arkansas"
"New Orleans, LA" "city" "W.S. CENTRAL" "Louisiana"
"San Antonio, TX" "city" "W.S. CENTRAL" "Texas"
"Shreveport, LA" "city" "W.S. CENTRAL" "Louisiana"
"Tulsa, OK" "city" "W.S. CENTRAL" "Oklahoma"
"Mountain" "region" "NONE" NA
"Albuquerque, NM" "city" "MOUNTAIN" "New Mexico"
"Boise, ID" "city" "MOUNTAIN" "Idaho"
"Colorado Springs, CO" "city" "MOUNTAIN" "Colorado"
"Denver, CO" "city" "MOUNTAIN" "Colorado"
"Las Vegas, NV" "city" "MOUNTAIN" "Nevada"
"Ogden, UT" "city" "MOUNTAIN" "Utah"
"Phoenix, AZ" "city" "MOUNTAIN" "Arizona"
"Pueblo, CO" "city" "MOUNTAIN" "Colorado"
"Salt Lake City, UT" "city" "MOUNTAIN" "Utah"
"Tucson, AZ" "city" "MOUNTAIN" "Arizona"
"Pacific" "region" "NONE" NA
"Berkeley, CA" "city" "PACIFIC" "California"
"Fresno, CA" "city" "PACIFIC" "California"
"Glendale, CA" "city" "PACIFIC" "California"
"Honolulu, HI" "city" "PACIFIC" "Hawaii"
"Long Beach, CA" "city" "PACIFIC" "California"
"Los Angeles, CA" "city" "PACIFIC" "California"
"Pasadena, CA" "city" "PACIFIC" "California"
"Portland, OR" "city" "PACIFIC" "Oregon"
"Sacramento, CA" "city" "PACIFIC" "California"
"San Diego, CA" "city" "PACIFIC" "California"
"San Francisco, CA" "city" "PACIFIC" "California"
"San Jose, CA" "city" "PACIFIC" "California"
"Santa Cruz, CA" "city" "PACIFIC" "California"
"Seattle, WA" "city" "PACIFIC" "Washington"
"Spokane, WA" "city" "PACIFIC" "Washington"
"Tacoma, WA" "city" "PACIFIC" "Washington"
"Total" "total" "NONE" NA
