"display_name" "data_name" "url"
"Cryptosporidiosis" "Cryptosporidiosis" "b36e-ru3r"
"Cryptosporidiosis" "Cryptosporidiosis" "9n3x-apcd"
"Salmonellosis" "Salmonellosis" "52cr-rw4k"
"Salmonellosis" "Salmonellosis" "d6kj-devz"
"Shigellosis" "Shigellosis" "52cr-rw4k"
"Shigellosis" "Shigellosis" "n3wf-wtep"
"Pertussis" "Pertussis" "8rkx-vimh"
"Pertussis" "Pertussis" "d69q-iyrb"
"Malaria" "Malaria" "y6uv-t34t"
"Malaria" "Malaria" "7pb7-w9us"
"Legionellosis" "Legionellosis" "23gt-ssfe"
"Legionellosis" "Legionellosis" "ydsy-yh5w"
"Hepatitis A" "Hepatitis..viral..acute...type.A" "rg4j-6mcc"
"Hepatitis A" "Hepatitis..viral..acute...type.A" "65xe-6neq"
"Hepatitis B, Acute" "Hepatitis..viral..acute...type.B" "rg4j-6mcc"
"Hepatitis B, Acute" "Hepatitis..viral..acute...type.B" "65xe-6neq"
"Hepatitis C, Acute" "Hepatitis..viral..acute...type.C" "rg4j-6mcc"
"Hepatitis C, Acute" "Hepatitis..viral..acute...type.C" "65xe-6neq"
"Giardiasis" "Giardiasis" "9ix3-ryt6"
"Giardiasis" "Giardiasis" "mpdg-hf57"
"Meningococcal Disease Invasive (all serogroups)" "Meningococcal.disease..invasive...All.serogroups" "y6uv-t34t"
"Meningococcal Disease Invasive (all serogroups)" "Meningococcal.disease..invasive...All.serogroups" "7pb7-w9us"
"Mumps" "Mumps" "8rkx-vimh"
"Mumps" "Mumps" "d69q-iyrb"
"Shiga toxin-producing E. coli (STEC)" "Shiga.toxin.producing.E..coli..STEC.." "52cr-rw4k"
"Shiga toxin-producing E. coli (STEC)" "Shiga.toxin.producing.E..coli..STEC.." "n3wf-wtep"
