"","Week","Date_Week"
"1","200601","1/7/2006"
"2","200602","1/14/2006"
"3","200603","1/21/2006"
"4","200604","1/28/2006"
"5","200605","2/4/2006"
"6","200606","2/11/2006"
"7","200607","2/18/2006"
"8","200608","2/25/2006"
"9","200609","3/4/2006"
"10","200610","3/11/2006"
"11","200611","3/18/2006"
"12","200612","3/25/2006"
"13","200613","4/1/2006"
"14","200614","4/8/2006"
"15","200615","4/15/2006"
"16","200616","4/22/2006"
"17","200617","4/29/2006"
"18","200618","5/6/2006"
"19","200619","5/13/2006"
"20","200620","5/20/2006"
"21","200621","5/27/2006"
"22","200622","6/3/2006"
"23","200623","6/10/2006"
"24","200624","6/17/2006"
"25","200625","6/24/2006"
"26","200626","7/1/2006"
"27","200627","7/8/2006"
"28","200628","7/15/2006"
"29","200629","7/22/2006"
"30","200630","7/29/2006"
"31","200631","8/5/2006"
"32","200632","8/12/2006"
"33","200633","8/19/2006"
"34","200634","8/26/2006"
"35","200635","9/2/2006"
"36","200636","9/9/2006"
"37","200637","9/16/2006"
"38","200638","9/23/2006"
"39","200639","9/30/2006"
"40","200640","10/7/2006"
"41","200641","10/14/2006"
"42","200642","10/21/2006"
"43","200643","10/28/2006"
"44","200644","11/4/2006"
"45","200645","11/11/2006"
"46","200646","11/18/2006"
"47","200647","11/25/2006"
"48","200648","12/2/2006"
"49","200649","12/9/2006"
"50","200650","12/16/2006"
"51","200651","12/23/2006"
"52","200652","12/30/2006"
"53","200701","1/6/2007"
"54","200702","1/13/2007"
"55","200703","1/20/2007"
"56","200704","1/27/2007"
"57","200705","2/3/2007"
"58","200706","2/10/2007"
"59","200707","2/17/2007"
"60","200708","2/24/2007"
"61","200709","3/3/2007"
"62","200710","3/10/2007"
"63","200711","3/17/2007"
"64","200712","3/24/2007"
"65","200713","3/31/2007"
"66","200714","4/7/2007"
"67","200715","4/14/2007"
"68","200716","4/21/2007"
"69","200717","4/28/2007"
"70","200718","5/5/2007"
"71","200719","5/12/2007"
"72","200720","5/19/2007"
"73","200721","5/26/2007"
"74","200722","6/2/2007"
"75","200723","6/9/2007"
"76","200724","6/16/2007"
"77","200725","6/23/2007"
"78","200726","6/30/2007"
"79","200727","7/7/2007"
"80","200728","7/14/2007"
"81","200729","7/21/2007"
"82","200730","7/28/2007"
"83","200731","8/4/2007"
"84","200732","8/11/2007"
"85","200733","8/18/2007"
"86","200734","8/25/2007"
"87","200735","9/1/2007"
"88","200736","9/8/2007"
"89","200737","9/15/2007"
"90","200738","9/22/2007"
"91","200739","9/29/2007"
"92","200740","10/6/2007"
"93","200741","10/13/2007"
"94","200742","10/20/2007"
"95","200743","10/27/2007"
"96","200744","11/3/2007"
"97","200745","11/10/2007"
"98","200746","11/17/2007"
"99","200747","11/24/2007"
"100","200748","12/1/2007"
"101","200749","12/8/2007"
"102","200750","12/15/2007"
"103","200751","12/22/2007"
"104","200752","12/29/2007"
"105","200801","1/5/2008"
"106","200802","1/12/2008"
"107","200803","1/19/2008"
"108","200804","1/26/2008"
"109","200805","2/2/2008"
"110","200806","2/9/2008"
"111","200807","2/16/2008"
"112","200808","2/23/2008"
"113","200809","3/1/2008"
"114","200810","3/8/2008"
"115","200811","3/15/2008"
"116","200812","3/22/2008"
"117","200813","3/29/2008"
"118","200814","4/5/2008"
"119","200815","4/12/2008"
"120","200816","4/19/2008"
"121","200817","4/26/2008"
"122","200818","5/3/2008"
"123","200819","5/10/2008"
"124","200820","5/17/2008"
"125","200821","5/24/2008"
"126","200822","5/31/2008"
"127","200823","6/7/2008"
"128","200824","6/14/2008"
"129","200825","6/21/2008"
"130","200826","6/28/2008"
"131","200827","7/5/2008"
"132","200828","7/12/2008"
"133","200829","7/19/2008"
"134","200830","7/26/2008"
"135","200831","8/2/2008"
"136","200832","8/9/2008"
"137","200833","8/16/2008"
"138","200834","8/23/2008"
"139","200835","8/30/2008"
"140","200836","9/6/2008"
"141","200837","9/13/2008"
"142","200838","9/20/2008"
"143","200839","9/27/2008"
"144","200840","10/4/2008"
"145","200841","10/11/2008"
"146","200842","10/18/2008"
"147","200843","10/25/2008"
"148","200844","11/1/2008"
"149","200845","11/8/2008"
"150","200846","11/15/2008"
"151","200847","11/22/2008"
"152","200848","11/29/2008"
"153","200849","12/6/2008"
"154","200850","12/13/2008"
"155","200851","12/20/2008"
"156","200852","12/27/2008"
"157","200853","1/3/2009"
"158","200901","1/10/2009"
"159","200902","1/17/2009"
"160","200903","1/24/2009"
"161","200904","1/31/2009"
"162","200905","2/7/2009"
"163","200906","2/14/2009"
"164","200907","2/21/2009"
"165","200908","2/28/2009"
"166","200909","3/7/2009"
"167","200910","3/14/2009"
"168","200911","3/21/2009"
"169","200912","3/28/2009"
"170","200913","4/4/2009"
"171","200914","4/11/2009"
"172","200915","4/18/2009"
"173","200916","4/25/2009"
"174","200917","5/2/2009"
"175","200918","5/9/2009"
"176","200919","5/16/2009"
"177","200920","5/23/2009"
"178","200921","5/30/2009"
"179","200922","6/6/2009"
"180","200923","6/13/2009"
"181","200924","6/20/2009"
"182","200925","6/27/2009"
"183","200926","7/4/2009"
"184","200927","7/11/2009"
"185","200928","7/18/2009"
"186","200929","7/25/2009"
"187","200930","8/1/2009"
"188","200931","8/8/2009"
"189","200932","8/15/2009"
"190","200933","8/22/2009"
"191","200934","8/29/2009"
"192","200935","9/5/2009"
"193","200936","9/12/2009"
"194","200937","9/19/2009"
"195","200938","9/26/2009"
"196","200939","10/3/2009"
"197","200940","10/10/2009"
"198","200941","10/17/2009"
